50;1,43500089645386;1,50369000434875
100;2,83325481414795;2,90092611312866
200;5,64185905456543;5,90715479850769
400;11,3377170562744;11,5496160984039
600;16,9907670021057;17,5067639350891
800;22,5545620918274;23,1759011745453
1000;28,1917440891266;28,9591069221497
1200;33,7895398139954;36,7900350093842
1400;40,1246449947357;40,549852848053
1600;45,1199309825897;46,4853661060333
1800;50,7079641819;52,1426868438721
2000;56,482136964798;57,9168601036072
2200;61,7139701843262;63,6093950271606
2400;67,5968370437622;70,4968481063843
